id_estudiante,t1,t2,t3,t4,t5,t6,r1,r2,r3,r4,r5,r6,p1,p2,p3,p4,p5,p6,op1,op2,op3,op4,op5,op6,score_a,score_p,score_d,score_s
280,145.2747804,152.5109836,184.0146974,68.728316,168.3110376,43.6205177,2,1,1,2,4,1,33,19,25,11,21,9,0,0,0,1,0,1,2,1,1,1
281,113.7887123,171.5652737,164.2729816,335.3714854,86.8815583,211.642504,1,2,1,5,1,4,1,3,10,14,4,11,1,1,0,0,0,1,6,4,3,2
282,41.98136133,116.577633,88.5791393,35.431642,40.464679,46.214411,1,2,1,1,1,1,3,9,5,2,2,2,1,1,0,1,0,1,7,5,4,3
283,58.07589333,91.592914,226.0435803,52.531484,56.76065,41.592289,1,2,4,2,3,1,2,14,34,15,14,2,0,0,0,0,1,1,4,5,2,2
284,55.37456534,30.94984266,119.916011,53.4067994,68.2280537,34.395835,3,1,1,1,2,1,6,5,13,5,10,6,1,1,1,1,1,1,5,3,3,3
285,73.42129533,42.0527963,48.7627534,33.531721,30.076279,25.6476933,1,1,1,1,1,1,34,14,44,15,16,13,0,0,0,0,0,0,6,3,2,3
286,213.968048,47.113258,332.9913266,38.03046,35.18078,74.211299,5,1,9,1,1,2,38,7,66,6,4,13,0,0,1,0,1,0,3,2,1,2
287,116.488528,159.191551,116.9558643,87.187607,53.3026,43.3021193,3,5,2,3,3,1,10,28,23,18,18,8,1,1,0,0,0,1,3,5,1,2
288,133.378,55.332,194.621,65.32,52.471,57.471,4,1,3,1,1,1,11,3,13,8,5,5,0,1,1,0,0,1,5,3,2,1
289,67.84225333,52.570003,187.7056813,52.7520124,113.843354,47.7188326,1,1,1,1,3,1,6,11,26,5,8,6,1,1,0,0,1,1,4,4,2,1
290,149.1544583,85.090957,47.1024263,34.456174,35.755842,44.653114,6,1,1,1,2,1,59,29,19,13,23,14,0,0,0,0,0,0,3,1,1,2
291,37.84588834,19.868003,186.2367483,117.4519773,70.190308,35.588479,1,1,6,2,3,1,2,3,32,7,5,4,1,1,1,0,1,1,4,5,2,1
292,31.87698934,71.96911303,91.9984333,66.853399,40.2917873,47.240596,1,2,1,1,1,1,1,8,11,7,3,5,1,1,1,0,1,1,6,5,2,2
293,45.87842767,116.0143457,166.0187487,102.0760483,78.576187,86.5608374,1,2,1,2,1,2,1,4,4,5,1,5,1,1,0,1,0,1,5,3,3,3
294,65.707672,84.5354853,373.6907277,128.8485653,147.9432964,88.2679976,1,1,2,2,3,1,9,10,29,8,7,6,0,1,1,1,1,0,6,4,3,2
295,33.35111334,65.53003333,138.60096,75.89246,28.02802,38.92222,1,1,3,2,1,1,2,6,5,10,3,5,0,0,0,0,0,1,6,5,3,3
296,57.53101034,106.48952,313.3131923,89.6426517,34.77954,37.581933,1,2,7,2,1,1,1,4,61,22,6,9,1,1,1,1,1,0,4,3,2,2
297,34.500272,50.25047867,109.600841,35.833929,25.5166923,37.0334684,1,2,3,1,1,1,2,3,16,3,3,6,1,1,1,1,1,0,7,4,4,3
298,16.60838533,21.587532,61.53784397,53.835163,30.593563,34.586799,1,1,1,1,1,1,5,5,9,6,2,7,1,1,1,0,0,0,3,4,2,2
