rut,programa,hito1,hito2,hito3,hito4,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,sol1,sol2,sol3,sol4
638,INGENIERIA CIVIL INFORMATICA,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,1.6,,,
639,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,5,26,:25:17:4:26:29,,,,1.6,,,
640,INGENIERIA EN COMPUTACION E INFORMATICA,13,0,0,0,6,10,:17:4:32:13:18:35,,,,1.7,,,
641,INGENIERIA EN COMPUTACION E INFORMATICA,10,0,0,0,6,10,:25:26:29:0:22:10,,,,1.7,,,
642,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,1.7,,,
643,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,1.7,,,
644,INGENIERIA EN COMPUTACION E INFORMATICA,7,0,0,0,5,26,:25:17:4:26:29,,,,1.7,,,
645,INGENIERIA INDUSTRIAL,0,0,0,0,0,16,,,,,1.8,,,
646,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,8,8,:25:17:4:29:23:22:42:32,,,,1.8,,,
647,INGENIERIA CIVIL INFORMATICA,26,0,0,0,14,17,:25:17:4:26:29:23:0:22:10:3:42:7:18:35,,,,1.8,,,
648,INGENIERIA EN COMPUTACION E INFORMATICA,4,0,0,0,3,13,:25:4:26,,,,1.8,,,
649,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,4,12,:25:4:23:3,,,,1.8,,,
650,INGENIERIA EN COMPUTACION E INFORMATICA,5,0,0,0,4,12,:25:17:4:26,,,,1.8,,,
651,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.9,,,
652,INGENIERIA EN COMPUTACION E INFORMATICA,15,0,0,0,9,7,:25:17:4:26:29:23:0:22:10,,,,1.9,,,
653,INGENIERIA EN COMPUTACION E INFORMATICA,2,0,0,0,2,14,:17:4,,,,2.0,,,
654,INGENIERIA CIVIL INDUSTRIAL,16,0,0,0,9,7,:25:17:4:26:29:23:0:22:3,,,,2.0,,,
655,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,2.0,,,
656,INGENIERIA EN COMPUTACION E INFORMATICA,1,0,0,0,1,15,:4,,,,2.0,,,
657,INGENIERIA INDUSTRIAL,4,0,0,0,3,13,:25:17:26,,,,2.1,,,
658,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,2.1,,,
659,INGENIERIA EN COMPUTACION E INFORMATICA,17,0,0,0,10,21,:25:17:4:26:29:23:0:22:10:18,,,,2.1,,,
660,INGENIERIA EN COMPUTACION E INFORMATICA,21,0,0,0,11,5,:17:4:26:29:23:0:22:10:7:32:13,,,,2.1,,,
661,INGENIERIA EN COMPUTACION E INFORMATICA,6,0,0,0,4,12,:25:17:4:42,,,,2.1,,,
662,INGENIERIA EN COMPUTACION E INFORMATICA,11,0,0,0,6,26,:4:26:0:10:3:42,,,,2.2,,,
663,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,2.2,,,
664,INGENIERIA CIVIL INDUSTRIAL,5,0,0,0,3,13,:25:26:22,,,,2.2,,,
665,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,2.2,,,
666,INGENIERIA CIVIL INDUSTRIAL,3,0,0,0,3,13,:25:17:4,,,,2.2,,,
667,INGENIERIA INDUSTRIAL,23,0,0,0,12,19,:25:17:4:26:29:23:0:22:10:3:42:35,,,,2.2,,,
668,INGENIERIA CIVIL INDUSTRIAL,8,0,0,0,6,25,:25:17:4:26:22:10,,,,2.2,,,
669,INGENIERIA CIVIL INDUSTRIAL,8,0,0,0,6,10,:25:17:4:26:0:10,,,,2.2,,,
670,INGENIERIA INDUSTRIAL,26,0,0,0,13,3,:25:17:4:26:29:23:0:22:10:3:42:32:13,,,,2.2,,,
671,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,2.2,,,
672,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,2.2,,,
673,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,2.2,,,
674,INGENIERIA CIVIL INDUSTRIAL,2,0,0,0,1,30,:22,,,,2.2,,,
